"Sheet","No","Video Title (ชื่อคลิป)","URL / Timestamp Link (ลิงก์วิดีโอ)","Summary & Key Content (เนื้อหาสรุป)","Keywords / Tag","Keyword Code","Category"
"AllVideo","11","PDPA กวนใจ? 🤔 ให้คุณคูณ (Kunkoon) AI ช่วยสิ!","https://www.youtube.com/watch?v=3177Bz2-244","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""PDPA กวนใจ? 🤔 ให้คุณคูณ (Kunkoon) AI ช่วยสิ!"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, AI, Automation","ai01","ai"
"AllVideo","12","ตัวอย่างการทำระบบ PDPA ผ่าน Application PDPA","https://www.youtube.com/watch?v=-X-OldpR2FI","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ตัวอย่างการทำระบบ PDPA ผ่าน Application PDPA"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa04","pdpa"
"AllVideo","13","เริ่มต้นทำ PDPA แบบ EASY E-Receipt","https://www.youtube.com/watch?v=pijzNV5iUBQ","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""เริ่มต้นทำ PDPA แบบ EASY E-Receipt"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa05","pdpa"
"AllVideo","14","🇨🇳💰 在泰国合法交易加密货币！🇺🇸💰 Legally trade cryptocurrency in Thailand!","https://www.youtube.com/watch?v=QdzzbwA75Sg","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🇨🇳💰 在泰国合法交易加密货币！🇺🇸💰 Legally trade cryptocurrency in Thailand!"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa06","pdpa"
"AllVideo","15","มุกใหม่ๆของ CallCenter เกิดจาก AI (Zero Day ATTACK)","https://www.youtube.com/watch?v=xiikQuimTEw","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""มุกใหม่ๆของ CallCenter เกิดจาก AI (Zero Day ATTACK)"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","AI, Automation","ai02","ai"
"AllVideo","16","การมาของ AI Agent เกี่ยวกับ PDPA #pdpa #cybersecurity","https://www.youtube.com/watch?v=6DcpmVe7BaU","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การมาของ AI Agent เกี่ยวกับ PDPA #pdpa #cybersecurity"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection, AI, Automation","ai03","ai"
"AllVideo","17","❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  ตอบปัญหา  EP_4 AI มาเราต้องปรับตัว","https://www.youtube.com/watch?v=qMtK3dPXgz0","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  ตอบปัญหา  EP_4 AI มาเราต้องปรับตัว"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","AI, Automation","ai04","ai"
"AllVideo","18","การโจมตีแบบ Zero Day คือ การโจมตีที่พบช่องโหว่แต่ยังไม่ update #pdpa","https://www.youtube.com/watch?v=qWO6jHSwdP4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การโจมตีแบบ Zero Day คือ การโจมตีที่พบช่องโหว่แต่ยังไม่ update #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection","sec06","sec"
"AllVideo","19","❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  EP_3 การทำงานร่วมพันธมิตร  #pdpa","https://www.youtube.com/watch?v=iBmazHFCzDQ","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  EP_3 การทำงานร่วมพันธมิตร  #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa07","pdpa"
"AllVideo","20","❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  EP_3 การทำงานร่วมพันธมิตร","https://www.youtube.com/watch?v=R4aT_bY3OSU","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา  EP_3 การทำงานร่วมพันธมิตร"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa08","pdpa"
"AllVideo","21","❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา   EP_2 เราไม่เอาข้อมูลไปแอบอ้าง","https://www.youtube.com/watch?v=O6IJqgMMkNg","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""❤️ตอบปัญหาการเข้าเป็นพันธมิตรกับเรา   EP_2 เราไม่เอาข้อมูลไปแอบอ้าง"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa09","pdpa"
"AllVideo","22","ตอบปัญหา  EP_1 วัตถุประสงค์ของโครงการพันธมิตร DPO กับเรา","https://www.youtube.com/watch?v=20LOQkthv2w","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ตอบปัญหา  EP_1 วัตถุประสงค์ของโครงการพันธมิตร DPO กับเรา"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","DPO, ผู้ควบคุมข้อมูล","dpo02","dpo"
"AllVideo","23","เซ็น MOU เพื่อไปหลอกลวงนักธุรกิจชาติเดียวกัน #pdpa","https://www.youtube.com/watch?v=HFKUx1aJQOw","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""เซ็น MOU เพื่อไปหลอกลวงนักธุรกิจชาติเดียวกัน #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa10","pdpa"
"AllVideo","24","ความโปร่งใส (Transparency)  การทำประกาศแจ้งเตือน ตามบันทึกรายการกิจกรรม","https://www.youtube.com/watch?v=flpRUByFEmM","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ความโปร่งใส (Transparency)  การทำประกาศแจ้งเตือน ตามบันทึกรายการกิจกรรม"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Consent, Cookie, Privacy Notice","consent01","consent"
"AllVideo","25","Individuals' Rights (สิทธิของเจ้าของข้อมูลส่วนบุคคล)","https://www.youtube.com/watch?v=G2Osvillbi4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Individuals' Rights (สิทธิของเจ้าของข้อมูลส่วนบุคคล)"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa11","pdpa"
"AllVideo","26","การอบรม ของเราสอดคล้องกับเกณฑ์ที่สำนักงานคณะกรรมการคุ้มครองข้อมูลส่วนบุคคลกำหนด","https://www.youtube.com/watch?v=bNGjtt75biI","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การอบรม ของเราสอดคล้องกับเกณฑ์ที่สำนักงานคณะกรรมการคุ้มครองข้อมูลส่วนบุคคลกำหนด"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Training, Workshop","train02","train"
"AllVideo","27","การTraining and awareness การอบรมและการสร้างความตระหนัก","https://www.youtube.com/watch?v=htUzxe0EtGw","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การTraining and awareness การอบรมและการสร้างความตระหนัก"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Training, Workshop","train03","train"
"AllVideo","28","การปฏิบัติงานจริง Poliy and Procedures นโยบายและแนวปฏิบัติ","https://www.youtube.com/watch?v=ER4-VK2pc9Y","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""การปฏิบัติงานจริง Poliy and Procedures นโยบายและแนวปฏิบัติ"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","เอกสาร PDPA, Policy","pdpa12","pdpa"
"AllVideo","29","Oversight กำกับดูแลคุ้มครองข้อมูลส่วนบุคคล","https://www.youtube.com/watch?v=benjYEM63UI","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Oversight กำกับดูแลคุ้มครองข้อมูลส่วนบุคคล"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa13","pdpa"
"AllVideo","30","โครงการ “ยกระดับภาคธุรกิจเพื่อป้องกันและรับมือภัยคุกคามทางไซเบอร์” #pdpa","https://www.youtube.com/watch?v=J3q9TkS0nZs","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""โครงการ “ยกระดับภาคธุรกิจเพื่อป้องกันและรับมือภัยคุกคามทางไซเบอร์” #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa14","pdpa"
"AllVideo","31","รองรับการเปลี่ยนแปลงในยุค Digital Transformation & AI &Office Automation #pdpa #cybersecurity","https://www.youtube.com/watch?v=kUbgIyQ24w0","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""รองรับการเปลี่ยนแปลงในยุค Digital Transformation & AI &Office Automation #pdpa #cybersecurity"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection, AI, Automation","ai05","ai"
"AllVideo","32","อบรม PDPA ครบวงจร สู่ความมั่นคงปลอดภัยของข้อมูลส่วนบุคคล 🌟","https://www.youtube.com/watch?v=wTZLvLqbSTw","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""อบรม PDPA ครบวงจร สู่ความมั่นคงปลอดภัยของข้อมูลส่วนบุคคล 🌟"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Training, Workshop","train04","train"
"AllVideo","33","Game Change: ยกระดับมาตรฐาน Security ประเทศไทยด้วย PDPA สู่มาตรฐานระดับโลก","https://www.youtube.com/watch?v=kzGLxdGfRY4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Game Change: ยกระดับมาตรฐาน Security ประเทศไทยด้วย PDPA สู่มาตรฐานระดับโลก"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection","sec07","sec"
"AllVideo","34","ตอนนี้หลายหน่วยงานภาครัฐแหน่วยงานกำกับดูแล (Regulator)กำลังจะมีระเบียบใหม่เรื่องCyber Security","https://www.youtube.com/watch?v=PFArzZMQovQ","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ตอนนี้หลายหน่วยงานภาครัฐแหน่วยงานกำกับดูแล (Regulator)กำลังจะมีระเบียบใหม่เรื่องCyber Security"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec08","sec"
"AllVideo","35","""ท้ายสุดแล้ว...คุณทำ PDPA เพื่ออะไร?"" #pdpa","https://www.youtube.com/watch?v=9B1JmIcgdjk","คลังความรู้ Prajan: วิดีโอ หัวข้อ """"ท้ายสุดแล้ว...คุณทำ PDPA เพื่ออะไร?"" #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa15","pdpa"
"AllVideo","36","“อย่าพึ่งลงทำ PDPA ถ้ายังไม่ลองถาม SGC!”ก่อนจะลงทุนทำ PDPA #pdpa","https://www.youtube.com/watch?v=_Y4u_uQwHC4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""“อย่าพึ่งลงทำ PDPA ถ้ายังไม่ลองถาม SGC!”ก่อนจะลงทุนทำ PDPA #pdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa16","pdpa"
"AllVideo","37","🎉แนวโน้มปี 2568 – กูรูแนะนำ: ต้องทำให้พร้อม! #pdpa #cybersecurity","https://www.youtube.com/watch?v=pGiGAjiFMMk","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🎉แนวโน้มปี 2568 – กูรูแนะนำ: ต้องทำให้พร้อม! #pdpa #cybersecurity"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection","sec09","sec"
"AllVideo","38","""อยู่ดี ๆ ก็ซวย!""ชื่อหน่วยงานถูกนำไปแอบอ้างใช้หลอกประชาชน","https://www.youtube.com/watch?v=_AxttCJF4k0","คลังความรู้ Prajan: วิดีโอ หัวข้อ """"อยู่ดี ๆ ก็ซวย!""ชื่อหน่วยงานถูกนำไปแอบอ้างใช้หลอกประชาชน"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa17","pdpa"
"AllVideo","39","💻 ปกป้ององค์กรของคุณจาก ภัย Cyber และ แก๊ง Call Center ด้วยมาตรฐาน PDPA","https://www.youtube.com/watch?v=IK0vk6fEtQY","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""💻 ปกป้ององค์กรของคุณจาก ภัย Cyber และ แก๊ง Call Center ด้วยมาตรฐาน PDPA"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Security, Cybersecurity, Data Protection","sec10","sec"
"AllVideo","40","สร้างมาตรฐาน PDPA = ตัดวงจรภัย Call Center","https://www.youtube.com/watch?v=y3CzHbpNPpI","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""สร้างมาตรฐาน PDPA = ตัดวงจรภัย Call Center"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy","pdpa18","pdpa"
"AllVideo","41","👻เพกาซัส (Pegasus) เป็นซอฟต์แวร์สปายแวร์ (Spyware)","https://www.youtube.com/watch?v=5qPXM5TCXwA","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""👻เพกาซัส (Pegasus) เป็นซอฟต์แวร์สปายแวร์ (Spyware)"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa19","pdpa"
"AllVideo","42","🎙️: ""ถ้าข้อมูลลูกค้าของคุณหลุดไป คุณจะทำยังไง? 😱 อย่าปล่อยให้ข้อมูลขององค์กรตกอยู่ในมือของคนผิด!""","https://www.youtube.com/watch?v=HJHjli-SG58","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🎙️: ""ถ้าข้อมูลลูกค้าของคุณหลุดไป คุณจะทำยังไง? 😱 อย่าปล่อยให้ข้อมูลขององค์กรตกอยู่ในมือของคนผิด!"""" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa20","pdpa"
"AllVideo","43","🎙️: ""ข้อมูลรั่วไหล = ความเสียหายมหาศาล! แต่คุณรู้ไหมว่าเหตุการณ์นี้ป้องกันได้?""","https://www.youtube.com/watch?v=lP5JqY_JNZY","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""🎙️: ""ข้อมูลรั่วไหล = ความเสียหายมหาศาล! แต่คุณรู้ไหมว่าเหตุการณ์นี้ป้องกันได้?"""" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Security, Cybersecurity, Data Protection","sec11","sec"
"AllVideo","44","ทำไมธุรกิจถึงควรมี Trustmark PDPAช่วยเพิ่มความน่าเชื่อถือ  #PDPACompliance  #prohibiteditems","https://www.youtube.com/watch?v=YvJd9rHX1qg","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ทำไมธุรกิจถึงควรมี Trustmark PDPAช่วยเพิ่มความน่าเชื่อถือ  #PDPACompliance  #prohibiteditems"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Compliance, กฎหมาย, Trustmark PDPA, Certification","train05","train"
"AllVideo","45","ประโยชน์ของ Trustmark PDPAความโปร่งใส เพิ่มความเชื่อมั่นในธุรกิจ #PDPA #Trustmark #ธุรกิจยั่งยืน","https://www.youtube.com/watch?v=xZoIMt713S4","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ประโยชน์ของ Trustmark PDPAความโปร่งใส เพิ่มความเชื่อมั่นในธุรกิจ #PDPA #Trustmark #ธุรกิจยั่งยืน"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Trustmark PDPA, Certification","train06","train"
"AllVideo","46","เอกสารที่ต้องเตรียมสำหรับ Trustmark PDPAเช็คลิสต์เอกสารที่จำเป็นในการยื่นขอ Trustmark PDPA #PDPA","https://www.youtube.com/watch?v=p8yCX3UhDLA","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""เอกสารที่ต้องเตรียมสำหรับ Trustmark PDPAเช็คลิสต์เอกสารที่จำเป็นในการยื่นขอ Trustmark PDPA #PDPA"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Trustmark PDPA, Certification, เอกสาร PDPA, Policy","train07","train"
"AllVideo","47","ขั้นตอนการขอ Trustmark PDPA #PDPACompliance #Trustmark #dataprotection","https://www.youtube.com/watch?v=FklY6t_IjSU","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ขั้นตอนการขอ Trustmark PDPA #PDPACompliance #Trustmark #dataprotection"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Compliance, กฎหมาย, Trustmark PDPA, Certification","train08","train"
"AllVideo","48","Yeepeng International 2024","https://www.youtube.com/watch?v=H3O_M639VAg","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Yeepeng International 2024"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa21","pdpa"
"AllVideo","49","📢 ข่าวสำคัญ! หน่วยงานรัฐเร่งผลักดันการปฏิบัติตาม PDPA และ พ.ร.บ.ไซเบอร์  #trustmarkpdpa","https://www.youtube.com/watch?v=dmYXNKVO6f0","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""📢 ข่าวสำคัญ! หน่วยงานรัฐเร่งผลักดันการปฏิบัติตาม PDPA และ พ.ร.บ.ไซเบอร์  #trustmarkpdpa"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Trustmark PDPA, Certification","train09","train"
"AllVideo","50","""รับรองมาตรฐาน PDPA พร้อม Trustmark!""","https://www.youtube.com/watch?v=N_GSQe7Cd5E","คลังความรู้ Prajan: วิดีโอ หัวข้อ """"รับรองมาตรฐาน PDPA พร้อม Trustmark!"""" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","PDPA, ข้อมูลส่วนบุคคล, Privacy, Trustmark PDPA, Certification","train10","train"
"AllVideo","51","Yeepeng International Prohibited Item /Not Allow","https://www.youtube.com/watch?v=3Rbl5FsTB2M","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""Yeepeng International Prohibited Item /Not Allow"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa22","pdpa"
"AllVideo","52","ทำอย่างไรหน่วยงานถูกแอบอ้างทำอย่างไร","https://www.youtube.com/watch?v=lHY8wMZA0Ko","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ทำอย่างไรหน่วยงานถูกแอบอ้างทำอย่างไร"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","Prajan, Knowledge Base, Video Content","pdpa23","pdpa"
"AllVideo","53","ระบบPOS สำหรับขายสินค้าอื่นๆพร้อมกับการบริการซักอบรีด เพิ่มรายได้จบในที่เดียว","https://www.youtube.com/watch?v=qwjtUaOMccY","คลังความรู้ Prajan: วิดีโอ หัวข้อ ""ระบบPOS สำหรับขายสินค้าอื่นๆพร้อมกับการบริการซักอบรีด เพิ่มรายได้จบในที่เดียว"" สำหรับใช้ค้นหาและอ้างอิงเมื่อลูกค้าถามเรื่องที่เกี่ยวข้อง","บริการ, Consulting","svc01","svc"
